drewex - 29.06.2015 1:10    [u mnie /10]
herkules - 22.06.2012 5:1 ()scalenie)   [u mnie /5]
cig - 31.01.2017  1:10    [u mnie /0.1  ]
13.01.2017	RESBUD	1/5   [u mnie 0.0833]


29.07.2016	RESBUD	4
25.09.2014	RESBUD	4





http://bossa.pl/analizy/splity/
Splity
data	WALOR	1:
22.02.2008	SANOK	10
21.02.2008	ZURAWIE	5
01.02.2008	ELKOP	29
31.01.2008	HBPOLSKA	50
11.01.2008	STARKDEV	50
10.01.2008	ATM	8
09.01.2008	FON	10
02.01.2008	ECHO	10
22.11.2007	MEWA	20
15.11.2007	SYNTHOS	67
08.10.2007	ORZEL	31
24.09.2007	PEMUG	10
20.09.2007	POLIMEXMS	25
07.09.2007	VISTULA	10
06.09.2007	IMPEXMET	25
27.08.2007	PEPEES	100
16.08.2007	PROCAD	10
02.08.2007	FAMUR	107
12.07.2007	HTLSTREFA	5
25.06.2007	KRUK	11
04.06.2007	FON	5
25.05.2007	BYTOM	10
08.03.2007	ELKOP	13
08.02.2007	IDMSAPL	10
25.01.2007	PCGUARD	100
29.12.2006	TVN	5
28.12.2006	ENERGOPLD	10
03.11.2006	ELSTAROIL	10
30.10.2006	MEDIATEL	5
23.10.2006	UNIMIL	10
07.09.2006	LZPS	6
25.08.2006	MASTERS	30
21.08.2006	APATOR	11
09.08.2006	GTC	10
02.08.2006	ECHO	4
01.08.2006	KOPEX	10
26.06.2006	BIOTON	5
10.03.2006	LUBAWA	10
17.11.2005	CERSANIT	10
30.09.2005	GRAJEWO	8
15.07.2005	ENAP	7
15.07.2005	STALPROFI	10
01.07.2005	KROSNO	10
31.03.2005	DUDA	10
17.01.2005	SANWIL	30
05.11.2004	BORYSZEW	10
09.03.2001	ESPEBEPE	2
22.01.2001	SIMPLE	9
20.12.2000	SKOTAN	3
22.09.2000	COMARCH	2
12.09.2000	MITEX	5
06.07.2000	SOFTBANK	2
06.03.2000	BORYSZEW	5
04.01.2000	LETA	6
15.09.1999	GROCLIN	5
10.09.1999	COMARCH	2
08.06.1999	SZEPTEL	2
15.01.1999	KABELBFK	2
26.08.1998	GARBARNIA	4
14.08.1998	CERSANIT	10
15.07.1998	PERMEDIA	2
29.09.1997	LUBAWA	2
29.04.1997	ELPO	5
17.04.1997	CHEMISKOR	2
21.03.1997	KETY	4
15.10.1996	IRENA	2
30.09.1996	ROLIMPEX	5
02.09.1996	PPWK	3
19.08.1996	KABELBFK	5
18.07.1996	CHEMISKOR	5
08.07.1996	ANIMEX	5
08.07.1996	COMPLAND	3
05.03.1996	JUTRZENKA	2
25.01.1996	OKOCIM	4
20.07.1995	ELEKTROEX	4
13.06.1995	MOSTALEXP	2
01.03.1995	PPABANK	5
16.02.1995	PROCHEM	5
26.01.1995	BIG	4
26.01.1995	BIG2	4
